Datetime,AAPL,MSFT,NVDA,SPY,QQQ
2026-05-01 14:38:00,283.5249938964844,412.0299987792969,198.4149932861328,722.75,672.989990234375
2026-05-01 14:39:00,283.07000732421875,411.69000244140625,198.69009399414062,722.8499755859375,673.0900268554688
2026-05-01 14:40:00,282.840087890625,411.510009765625,198.85000610351562,722.6998901367188,673.1300048828125
2026-05-01 14:41:00,282.5920104980469,411.5150146484375,198.72000122070312,722.5800170898438,672.8721923828125
2026-05-01 14:42:00,282.5299987792969,411.7699890136719,198.7700958251953,722.77001953125,673.1610107421875
2026-05-01 14:43:00,282.5849914550781,412.05999755859375,199.2100067138672,723.2000732421875,673.844970703125
2026-05-01 14:44:00,282.3900146484375,412.00201416015625,199.27999877929688,722.9600219726562,673.5902709960938
2026-05-01 14:45:00,282.1600036621094,412.25,199.68499755859375,723.10498046875,673.8200073242188
2026-05-01 14:46:00,282.4800109863281,412.82000732421875,199.57000732421875,723.1400146484375,673.75
2026-05-01 14:47:00,282.79998779296875,412.54998779296875,199.6999969482422,723.0499877929688,673.7050170898438
2026-05-01 14:48:00,283.07000732421875,413.05999755859375,199.88510131835938,723.22998046875,673.9249877929688
2026-05-01 14:49:00,283.1400146484375,413.1400146484375,199.82000732421875,723.1599731445312,673.8099975585938
2026-05-01 14:50:00,283.125,412.875,199.47000122070312,722.8599853515625,673.1699829101562
2026-05-01 14:51:00,283.5498962402344,413.2250061035156,199.75,723.2498779296875,673.9000244140625
2026-05-01 14:52:00,283.2300109863281,413.08319091796875,199.91000366210938,723.0999755859375,673.8214721679688
2026-05-01 14:53:00,283.510009765625,413.2200012207031,199.86000061035156,723.030029296875,673.864990234375
2026-05-01 14:54:00,283.4999084472656,412.989990234375,199.6999969482422,722.8699951171875,673.6500244140625
2026-05-01 14:55:00,283.4700012207031,413.80999755859375,199.77000427246094,723.0614013671875,674.1099853515625
2026-05-01 14:56:00,283.43499755859375,413.40008544921875,199.72500610351562,723.0399780273438,673.9799194335938
2026-05-01 14:57:00,283.260009765625,413.5849914550781,199.67999267578125,723.0399780273438,673.8798828125
2026-05-01 14:58:00,282.9775085449219,413.54998779296875,199.4613037109375,722.9099731445312,673.60498046875
2026-05-01 14:59:00,282.6099853515625,414.05999755859375,199.52870178222656,722.719970703125,673.530029296875
2026-05-01 15:00:00,282.42999267578125,414.0199890136719,199.54989624023438,722.6699829101562,673.4450073242188
2026-05-01 15:01:00,281.8999938964844,413.9849853515625,199.2205047607422,722.47998046875,673.030029296875
2026-05-01 15:02:00,281.8699951171875,413.92498779296875,199.13499450683594,722.3599853515625,672.8499755859375
2026-05-01 15:03:00,282.1050109863281,414.2799987792969,199.2301025390625,722.4401245117188,672.969970703125
2026-05-01 15:04:00,281.8800048828125,414.135009765625,199.62010192871094,722.3300170898438,673.0349731445312
2026-05-01 15:05:00,282.1199951171875,413.7799987792969,199.72999572753906,722.510009765625,673.1699829101562
2026-05-01 15:06:00,281.94500732421875,413.5899963378906,199.5399932861328,722.3800048828125,672.9699096679688
2026-05-01 15:07:00,281.989990234375,413.19989013671875,199.38999938964844,722.219970703125,672.780029296875
2026-05-01 15:08:00,282.1600036621094,413.2900085449219,199.38999938964844,722.4299926757812,673.0499877929688
2026-05-01 15:09:00,282.0801086425781,413.5150146484375,199.40499877929688,722.6199951171875,673.2100219726562
2026-05-01 15:10:00,282.05999755859375,413.6300048828125,199.38999938964844,722.3900146484375,672.9813842773438
2026-05-01 15:11:00,282.3999938964844,413.8500061035156,199.42999267578125,722.6199951171875,673.4849243164062
2026-05-01 15:12:00,282.9601135253906,414.1650085449219,199.49000549316406,722.8599853515625,673.8200073242188
2026-05-01 15:13:00,283.3550109863281,414.0899963378906,199.47999572753906,722.97998046875,673.9600219726562
2026-05-01 15:14:00,283.5325012207031,414.2900085449219,199.47000122070312,722.9949951171875,674.0700073242188
2026-05-01 15:15:00,283.6300048828125,414.6120910644531,199.48989868164062,723.0,674.0900268554688
2026-05-01 15:16:00,283.2900085449219,413.8450012207031,199.4600067138672,722.885009765625,673.9600219726562
2026-05-01 15:17:00,283.720703125,414.010009765625,199.5050048828125,723.0206298828125,674.269775390625
2026-05-01 15:18:00,283.5249938964844,413.8900146484375,199.52000427246094,722.9299926757812,674.2299194335938
2026-05-01 15:19:00,284.010009765625,413.75,199.55499267578125,722.9949951171875,674.4149780273438
2026-05-01 15:20:00,284.1400146484375,413.739990234375,199.5299072265625,723.1300048828125,674.64990234375
2026-05-01 15:21:00,284.1325988769531,413.6199951171875,199.6750030517578,723.22998046875,674.6900024414062
2026-05-01 15:22:00,284.01251220703125,413.70001220703125,199.50999450683594,723.1599731445312,674.5598754882812
2026-05-01 15:23:00,284.0400085449219,413.7799987792969,199.61000061035156,723.2899780273438,674.760009765625
2026-05-01 15:24:00,283.96990966796875,413.94000244140625,199.14999389648438,723.280029296875,674.6599731445312
2026-05-01 15:25:00,283.864990234375,414.2149963378906,199.1300048828125,723.239990234375,674.6400146484375
2026-05-01 15:26:00,283.6549987792969,414.20001220703125,198.99000549316406,723.2449951171875,674.719970703125
2026-05-01 15:27:00,283.80999755859375,414.1549987792969,198.8498992919922,723.220703125,674.635009765625
2026-05-01 15:28:00,283.69500732421875,414.3399963378906,198.75999450683594,723.0499877929688,674.4401245117188
2026-05-01 15:29:00,283.95001220703125,414.5899963378906,198.92999267578125,723.2899780273438,674.7000122070312
2026-05-01 15:30:00,283.6300048828125,414.4100036621094,199.1999053955078,723.3400268554688,674.8699951171875
2026-05-01 15:31:00,283.6199951171875,414.5851135253906,198.9149932861328,723.3300170898438,674.739990234375
2026-05-01 15:32:00,283.32000732421875,414.79998779296875,199.02999877929688,723.3900146484375,674.8499755859375
2026-05-01 15:33:00,283.44000244140625,414.9150085449219,198.8199005126953,723.22998046875,674.7150268554688
2026-05-01 15:34:00,283.6199951171875,414.9100036621094,198.82000732421875,723.260009765625,674.7493896484375
2026-05-01 15:35:00,283.6824035644531,414.8193054199219,198.8000030517578,723.27001953125,674.72998046875
2026-05-01 15:36:00,283.885009765625,415.3349914550781,198.88999938964844,723.4000244140625,674.9199829101562
2026-05-01 15:37:00,284.20001220703125,415.80499267578125,199.30299377441406,723.8599853515625,675.3900146484375
2026-05-01 15:38:00,284.3949890136719,415.6000061035156,199.19000244140625,723.7899780273438,675.3499755859375
